p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
ReLU,0.24018690984409935,3,3,2,1,0,0,on,8.890864751686021e-05,89,88.25501251220703,-1.3065316677093506,-0.3081798255443573,29,0.4787995815277099,632.109427690506,1688961058.926564,1688961690.5565324,88.25501251220703,92.66615295410156,0.3081798255443573,44.43043899536133,91.46939849853516,62837.24609375,1.3065316677093506
Hardswish,0.8357931473871145,4,1,1,1,2,4,on,0.0007775999759715009,18,39.13016128540039,-1.9997220039367676,-0.21096539497375488,3,0.40491151809692383,198.17627048492432,1688961058.8526676,1688961256.6235957,39.13016128540039,53.170780181884766,0.21096539497375488,45.822452545166016,39.10430908203125,19497.966796875,1.9997220039367676
ReLU,0.6837844731429661,3,2,1,1,3,1,off,0.0002240656813676718,73,70.91001892089844,-1.5055510997772217,-0.38856321573257446,31,0.4826064109802246,674.7955224514008,1688961058.9303627,1688961733.2426198,70.91001892089844,90.11446380615234,0.38856321573257446,51.00798797607422,86.32024383544922,67111.0703125,1.5055510997772217
Hardswish,0.4270582930407754,4,0,1,1,4,3,off,0.0003853947034605301,3,45.11299514770508,-1.6343146562576294,-0.09941797703504562,32,0.4762861728668213,35.8399703502655,1688961058.9240365,1688961094.2870386,45.11299514770508,83.25869750976562,0.09941797703504562,9.654921531677246,73.97267150878906,3273.21484375,1.6343146562576294
Hardswish,0.12579100000848725,3,1,4,4,2,2,off,0.00047921107202211744,75,88.70098114013672,-2.996027946472168,-0.4311522841453552,33,0.4846205711364746,792.1209936141968,1688961058.932376,1688961850.5680938,88.70098114013672,92.49382019042967,0.4311522841453552,86.3004150390625,83.13697814941406,78857.4609375,2.996027946472168
ReLU,0.8674542187891774,4,0,1,4,1,0,off,0.00015457143065246285,91,73.19625854492188,-1.7796480655670166,-0.06765207648277283,37,0.4886922836303711,834.0758202075958,1688961058.9364483,1688961892.522849,73.19625854492188,86.91436767578125,0.06765207648277283,9.4432373046875,84.0895767211914,83081.5234375,1.7796480655670166
Hardswish,0.5294114458764193,4,2,3,3,3,4,on,0.0005832924869713627,54,64.83232879638672,-2.6845052242279053,-0.49760955572128296,38,0.4815325736999512,606.5148410797119,1688961058.9292903,1688961664.9619417,64.83232879638672,76.32442474365234,0.49760955572128296,62.24217224121094,58.0324821472168,60277.9765625,2.6845052242279053
Hardswish,0.37089849947935755,3,1,1,4,0,1,on,0.0008389094274600236,92,64.22834014892578,-1.490825653076172,-0.09545573592185974,41,0.4928724765777588,666.5719289779663,1688961058.9406383,1688961725.0190265,64.22834014892578,77.24378967285156,0.09545573592185974,12.798246383666992,73.54989624023438,66249.9140625,1.490825653076172
ReLU,0.4343945658949902,1,0,1,3,4,0,off,7.443310149447821e-05,32,81.86331939697266,-1.6549108028411863,-0.130659818649292,45,0.4915790557861328,272.1363079547882,1688961058.939337,1688961330.583341,81.86331939697266,84.14797973632812,0.130659818649292,10.751047134399414,77.8498306274414,26832.916015625,1.6549108028411863
Hardswish,0.22270842007394823,1,3,2,1,3,2,off,0.0008239225797966106,39,75.49195861816406,-1.390683889389038,-0.5836842060089111,49,0.5047488212585449,353.2142667770386,1688961058.952501,1688961411.661365,75.49195861816406,88.24871826171875,0.5836842060089111,81.91378784179688,72.20036315917969,34909.55859375,1.390683889389038
ReLU,0.6349206990560249,1,1,2,1,1,0,off,0.00015496746604640546,84,85.02177429199219,-1.1564584970474243,-0.3002917766571045,50,0.5079593658447266,501.49505043029785,1688961058.955718,1688961559.942171,85.02177429199219,92.17108154296876,0.3002917766571045,38.5344352722168,58.49607467651367,49740.875,1.1564584970474243
Mish,0.5529381091569333,4,4,1,0,2,0,on,0.0005179554106333968,40,58.29841613769531,-2.7411587238311768,-0.32100406289100647,52,0.5090069770812988,596.2285664081573,1688961058.9567666,1688961654.6755958,58.29841613769531,79.80394744873047,0.32100406289100647,54.84709548950195,72.02816009521484,59207.9140625,2.7411587238311768
