p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Mish,0.0671426870670645,3,4,2,4,0,2,on,1.4330333230217391e-05,76,85.54134368896484,-3.773982524871826,-0.5795746445655823,74,1691698233.7423162,1691698819.5731578,0.5795746445655823,116962.1640625,3.773982524871826,85.94009399414062,85.54134368896484,88.76936340332031,85.09342956542969,False
ReLU,0.0147163633530947,1,3,2,0,3,2,on,0.0003584549723393,96,85.78336334228516,-1.1379802227020264,-0.6022958159446716,75,1691698233.7524877,1691698500.0223982,0.6022958159446716,53049.296875,1.1379802227020264,85.98098754882812,85.78336334228516,90.5205535888672,85.68268585205078,False
ReLU,0.0016310810052829,1,1,4,3,3,3,off,0.0007335153068306,87,59.798675537109375,-1.3383909463882446,-0.1536066532135009,76,1691698233.7625077,1691698496.9387531,0.1536066532135009,52432.73828125,1.3383909463882446,19.773366928100582,59.798675537109375,68.30351257324219,59.09407424926758,False
Hardswish,0.0487272841638521,4,1,4,2,4,4,off,6.359288237315467e-05,144,64.96414947509766,-3.07133150100708,-0.328460156917572,77,1691698233.7716858,1691699126.4682422,0.328460156917572,178363.53125,3.07133150100708,43.10962677001953,64.96414947509766,75.349609375,66.05065155029297,False
ReLU,0.0125933393102239,1,0,4,2,0,3,off,0.0001014540699698,183,81.47642517089844,-1.255146861076355,-0.348450243473053,78,1691698233.7959692,1691698772.663818,0.348450243473053,107562.0078125,1.255146861076355,47.50557708740234,81.47642517089844,96.61075592041016,81.39908599853516,False
Hardswish,0.0894808231243901,2,4,4,1,2,2,off,1.9903896040545848e-05,20,74.80795288085938,-2.338186740875244,-0.7765122652053833,79,1691698233.7994375,1691698336.1379426,0.7765122652053833,20344.462890625,2.338186740875244,118.31373596191406,74.80795288085938,81.19818115234375,73.35416412353516,False
Hardswish,0.6478464479893824,1,3,0,0,2,0,off,0.0003266869097106,41,56.373138427734375,-0.7281773686408997,-0.3506903350353241,80,1691698233.3827314,1691698300.7864308,0.3506903350353241,13234.4033203125,0.7281773686408997,47.48452377319336,56.373138427734375,73.16505432128906,56.6589469909668,False
Hardswish,0.2262730452961343,2,3,4,3,2,2,on,0.0002182838839581,54,79.0698013305664,-1.9456725120544436,-0.8495312333106995,81,1691698233.802814,1691698476.7895117,0.8495312333106995,48475.0703125,1.9456725120544436,122.74668884277344,79.0698013305664,82.65695190429688,79.35420227050781,False
Hardswish,0.001422641802429,1,2,2,1,1,4,off,0.000506847908759,30,71.733642578125,-1.521021842956543,-0.5703893899917603,82,1691698233.8066032,1691698328.8405058,0.5703893899917603,18774.853515625,1.521021842956543,78.98931884765625,71.733642578125,78.31684875488281,73.73494720458984,False
ReLU,0.2723469473747844,4,4,0,4,2,4,on,0.0003186362823018,33,35.34064102172852,-2.8912506103515625,-0.3292685151100158,83,1691698233.809713,1691698439.2186158,0.3292685151100158,40854.80859375,2.8912506103515625,42.35061264038086,35.34064102172852,44.87990951538086,42.37110900878906,False
Mish,0.0045527998970605,4,2,3,1,1,3,on,0.0004554287451034,85,84.3746566772461,-2.8855690956115723,-0.3617490828037262,84,1691698233.7893918,1691698719.2754831,0.3617490828037262,96927.9296875,2.8855690956115723,50.47517776489258,84.3746566772461,86.60143280029297,85.31253051757812,False
Hardswish,0.0016844827937543,3,1,2,4,2,4,off,0.0002188258435147,176,83.0953369140625,-2.1465697288513184,-0.5606095194816589,85,1691698233.8195348,1691699063.2211866,0.5606095194816589,165685.0,2.1465697288513184,82.31844329833984,83.0953369140625,97.52793884277344,81.70894622802734,False
Hardswish,0.0122795673374817,2,1,3,2,3,4,on,2.635866822606316e-05,72,85.53202819824219,-1.727914810180664,-0.5967639088630676,86,1691698233.8261006,1691698518.2378178,0.5967639088630676,56764.4921875,1.727914810180664,86.12489318847656,85.53202819824219,90.00242614746094,85.0189437866211,False
ReLU,0.0011344406107019,0,4,3,1,3,4,off,8.532774130395593e-05,184,72.5306625366211,-1.7267619371414185,-0.1296630352735519,87,1691698233.8321486,1691698908.6388838,0.1296630352735519,134798.265625,1.7267619371414185,15.954338073730469,72.5306625366211,79.10340118408203,73.9711685180664,False
ReLU,0.0806852521016105,1,0,1,2,3,3,on,0.0003175082583586,74,75.22114562988281,-0.9041106104850768,-0.354103684425354,88,1691698233.8424573,1691698389.854232,0.354103684425354,31087.888671875,0.9041106104850768,50.81460571289063,75.22114562988281,77.99584197998047,76.56216430664062,False
